Date,Open,High,Low,Close,Adj Close,Volume
2013-11-01,179.809998,186.240005,177.309998,179.679993,147.346024,100984900
2013-12-01,179.460007,187.789993,172.729996,187.570007,154.642319,97993100
2014-01-01,187.210007,190.809998,175.339996,176.679993,145.663986,123489300
2014-02-01,176.020004,186.119995,172.190002,185.169998,152.663559,87054800
2014-03-01,183.330002,195.630005,182.210007,192.490005,159.568588,118984000
2014-04-01,193.119995,199.210007,187.009995,196.470001,162.867905,118441200
2014-05-01,196.309998,196.740005,182.330002,184.360001,152.829071,70018300
2014-06-01,184.759995,187.649994,179.270004,181.270004,151.142410,78501700
2014-07-01,181.699997,196.399994,181.699997,191.669998,159.813919,97597800
2014-08-01,190.500000,194.130005,183.580002,192.300003,160.339188,53454100
2014-09-01,192.679993,195.000000,188.119995,189.830002,159.215775,64179600
2014-10-01,189.910004,190.889999,161.100006,164.399994,137.886932,146255300
2014-11-01,164.250000,164.970001,159.800003,162.169998,136.016541,80015600
2014-12-01,161.639999,164.520004,150.500000,160.440002,135.486526,101583300
2015-01-01,161.309998,163.309998,149.520004,153.309998,129.465485,117006200
2015-02-01,154.000000,164.990005,151.509995,161.940002,136.753281,76963200
2015-03-01,161.940002,165.350006,153.399994,160.500000,136.488007,104847300
2015-04-01,160.229996,175.130005,158.389999,171.289993,145.663727,93533800
2015-05-01,173.199997,176.300003,168.839996,169.649994,144.269073,57785700
2015-06-01,170.210007,171.559998,162.119995,162.660004,140.445328,80846400
2015-07-01,163.970001,173.779999,158.500000,161.990005,139.866852,93854600
2015-08-01,161.699997,161.850006,140.619995,147.889999,127.692490,93667600
2015-09-01,144.910004,149.679993,141.149994,144.970001,126.210373,81556300
2015-10-01,145.309998,153.149994,137.330002,140.080002,121.953125,120371200
2015-11-01,140.500000,142.800003,131.649994,139.419998,121.378555,85427700
2015-12-01,139.580002,141.399994,133.910004,137.619995,120.935364,97954000
2016-01-01,135.600006,136.889999,118.000000,124.790001,109.660820,126221600
2016-02-01,124.400002,134.919998,116.900002,131.029999,115.144295,106605800
2016-03-01,132.240005,153.100006,132.029999,151.449997,134.448105,105698400
2016-04-01,150.509995,153.520004,142.610001,145.940002,129.556671,93489400
2016-05-01,146.559998,153.809998,142.899994,153.740005,136.481003,75181700
2016-06-01,153.000000,155.479996,142.500000,151.779999,137.346832,76966700
2016-07-01,151.779999,163.600006,149.919998,160.619995,145.346191,69408600
2016-08-01,160.649994,164.949997,157.850006,158.880005,143.771667,69316700
2016-09-01,158.320007,165.000000,153.210007,158.850006,144.986023,69885800
2016-10-01,158.059998,158.529999,147.789993,153.690002,140.276352,78230800
2016-11-01,153.500000,164.660004,151.000000,162.220001,148.061890,76307100
2016-12-01,161.949997,169.949997,158.300003,165.990005,152.877274,68957500
2017-01-01,167.000000,179.250000,165.339996,174.520004,160.733444,88746500
2017-02-01,175.000000,182.789993,172.889999,179.820007,165.614746,59612000
2017-03-01,180.479996,182.550003,172.089996,174.139999,161.651596,79477000
2017-04-01,173.820007,176.330002,159.600006,160.289993,148.794830,100052300
2017-05-01,160.050003,160.419998,149.789993,152.630005,141.684204,103329100
2017-06-01,152.800003,157.199997,150.800003,153.830002,144.193085,83977000
2017-07-01,153.580002,156.029999,143.639999,144.669998,135.606918,93293500
2017-08-01,145.000000,145.669998,139.130005,143.029999,134.069687,80268700
2017-09-01,142.979996,147.419998,141.639999,145.080002,137.428055,78296700
2017-10-01,145.350006,162.509995,145.210007,154.059998,145.934448,125345600
2017-11-01,154.100006,154.899994,146.210007,149.119995,141.254974,135079900
2017-12-01,154.399994,157.850006,151.490005,153.419998,146.780777,88788100
2018-01-01,154.500000,171.130005,153.539993,163.699997,156.615936,145006900
2018-02-01,163.190002,164.130005,144.399994,155.830002,149.086502,102364900
2018-03-01,155.529999,162.110001,148.539993,153.429993,148.235611,94316900
2018-04-01,153.339996,162.000000,144.110001,144.960007,140.052368,122745300
2018-05-01,144.649994,146.199997,139.899994,141.309998,136.525955,88707700
2018-06-01,142.429993,147.520004,137.449997,139.699997,136.468750,89664600
2018-07-01,138.279999,150.539993,138.199997,144.929993,141.577774,94954000
2018-08-01,144.759995,147.929993,142.000000,146.479996,143.091919,79195100
2018-09-01,145.979996,153.350006,144.809998,151.210007,149.308380,95867900
2018-10-01,151.710007,154.360001,114.089996,115.430000,113.978340,198093000
2018-11-01,115.500000,125.059998,114.540001,124.269997,122.707161,141691600
