DATE,TB4WK
2013-11-01,0.05
2013-12-01,0.02
2014-01-01,0.02
2014-02-01,0.05
2014-03-01,0.05
2014-04-01,0.02
2014-05-01,0.03
2014-06-01,0.02
2014-07-01,0.02
2014-08-01,0.03
2014-09-01,0.01
2014-10-01,0.02
2014-11-01,0.04
2014-12-01,0.03
2015-01-01,0.02
2015-02-01,0.02
2015-03-01,0.02
2015-04-01,0.02
2015-05-01,0.01
2015-06-01,0.00
2015-07-01,0.03
2015-08-01,0.03
2015-09-01,0.00
2015-10-01,0.01
2015-11-01,0.07
2015-12-01,0.17
2016-01-01,0.22
2016-02-01,0.25
2016-03-01,0.25
2016-04-01,0.19
2016-05-01,0.22
2016-06-01,0.22
2016-07-01,0.26
2016-08-01,0.26
2016-09-01,0.18
2016-10-01,0.24
2016-11-01,0.29
2016-12-01,0.41
2017-01-01,0.49
2017-02-01,0.47
2017-03-01,0.65
2017-04-01,0.73
2017-05-01,0.71
2017-06-01,0.82
2017-07-01,0.95
2017-08-01,0.96
2017-09-01,0.98
2017-10-01,0.98
2017-11-01,1.07
2017-12-01,1.18
2018-01-01,1.27
2018-02-01,1.36
2018-03-01,1.61
2018-04-01,1.63
2018-05-01,1.67
2018-06-01,1.77
2018-07-01,1.86
2018-08-01,1.91
2018-09-01,2.00
2018-10-01,2.14
2018-11-01,2.19
